day,n,ybar,sd
0,5,10.2,0.83
3,5,10.4,0.54
7,5,10.6,0.54
13,6,12.5,0.83
18,5,12,1.41
24,4,15,0.82
25,6,15.17,0.76
32,5,17,0.72
38,7,18.71,0.74
42,9,19.22,0.84
44,10,20,1.26
49,19,20.32,1
52,14,22.07,1.2
55,11,22.64,1.76
58,9,22.78,0.84
61,14,23.93,1.16
69,10,25.5,0.98
73,12,25.08,1.94
76,9,26.67,1.23
88,7,28,1.01
100,10,31.67,1.42
106,7,32.14,2.28
0,5,10,0
6,5,11,0.72
9,5,10,0.72
19,11,13.36,1.03
27,7,14.29,0.95
30,8,14.5,1.19
32,8,15.38,0.51
34,5,16.6,0.89
36,6,15.5,0.54
38,7,16.86,1.35
40,4,17.5,0.58
42,3,17.33,1.52
44,8,18,0.76
48,22,18.46,0.75
50,7,17.71,0.95
55,24,19.42,0.78
58,15,20.6,0.62
61,12,21,0.73
64,15,22.33,0.89
67,10,22.2,0.79
75,14,23.86,1.09
79,12,24.42,1
82,19,24.79,0.52
85,5,25,1.01
88,27,26.04,0.99
91,5,26.6,0.54
94,16,27.12,1.16
97,12,26.83,0.59
100,10,28.7,0.47
106,15,29.33,1.74
